DeviceID,GASMETERID,block_code
30525917,,2009
31030987,,2009
30524881,,2009
31043044,,2009
31030982,,2009
31043061,,2009
56294807,,2009
83779528,,1001
31804706,40489952,3028
31806012,,3025
31804967,,3024
31033996,40474040,3028
31803265,54354562,3025
31803278,,3025
20378257,,3025
31809080,,3025
31802756,,3025
31804406,,3028
20379626,56356310,4005
18204824,35527330,3006
18203642,35527482,3006
18203832,49768242,3006
31801375,,3006
18203737,46334825,3006
18203764,49767529,3006
18203820,35527526,4005
18198248,54341851,3005
31801168,,4006
28013081,35586458,4006
20379590,56355444,4006
31032641,54459937,4006
20380268,49769196,4006
20380303,54355489,4006
20380254,56364520,4006
31801921,46345404,4006
31802165,90972195,4006
20379627,46300899,4006
31048991,92337803,3005
20378396,33418901,4006
20376842,40489234,4006
20380224,,4006
18205071,,4006
18203649,,4006
20377555,49769534,3015
30524883,,3015
56763149,90974300,3015
18195866,90974254,3015
57059290,54459962,3015
52061484,49768764,3015
52061787,,3015
52061783,49768203,3015
52062252,,3015
52061725,,3015
52061781,46301959,3015
52061798,,3015
52061794,,3015
52061777,,3015
31806388,40488641,3015
52061726,46335076,3015
52061789,34356366,3015
31048916,49747011,3015
52061788,49761395,3015
31801333,33466335,3014
57553382,49769185,4001
18039104,,4004
20377690,49768057,4001
31802564,35567598,4004
31803133,46264084,4001
31803280,46300757,4001
31800924,46301889,4001
31051310,49747258,4001
20381069,92338082,4001
31802567,46253066,4004
31802717,49747533,1000
31801304,90953600,1000
18204896,,2006
31801813,,1001
31801303,40474027,1000
18204926,35562555,1001
18204907,,2006
18204891,,2006
52061973,92337774,1024
52061995,54341976,1024
57059604,46300344,2009
18195905,49768317,2009
18195906,49768291,2009
52061996,56354923,1024
52061805,35612214,2009
20377679,40488129,2009
20376991,,2009
20377652,33418766,2009
31803376,40488361,2009
31048320,56351977,2023
31043220,54460167,2023
20379686,,2023
31043214,54458091,2023
57554308,54363624,2023
57554306,,2023
57554321,46301914,2023
30727004,49768419,2007
31801043,46302172,2023
30527428,54356410,2007
31801770,33466310,2023
52062226,90972282,2023
30527410,54356174,2000
31801311,56356934,2000
20376620,92337550,2000
31803237,90971882,2000
31806391,49768720,2001
20377005,,2000
20378944,,2000
20377008,,2000
56763152,,2000
56763151,,2000
56763150,,2000
56763153,,2000
31805968,,2000
57491480,49761037,2000
20376890,54363149,2000
28357433,46335174,2000
31806048,,2000
18038739,,2000
31803423,54356219,2000
28356547,54354645,2000
28356546,40487903,2000
30525871,49747345,1008
20376708,92351851,1008
20376721,,1008
29619366,40474196,1008
31809163,34356149,1008
20376724,97049162,1008
30525904,,1008
31049009,,1015
83769690,,1015
83769693,,1015
31045068,,2004
83769692,,2004
18039074,49747478,2019
29924881,35569574,2036
29924879,49747514,2019
29924924,49747520,2019
30129100,,2036
29924880,49747158,2019
28356510,46351407,2036
29924878,49747417,2019
29924885,90972122,2019
18039071,46302378,2036
29924883,49747270,2036
18039072,,2036
28356513,49747517,2036
20378216,49767943,4001
20378243,49767959,4001
20381121,35549061,4001
20381120,54459971,4001
31802601,49769315,4001
31803157,46335154,4001
31803158,46335177,4001
31803358,49768557,4001
20378841,40474978,4001
20376964,90974986,4001
20379048,90974648,4001
31802579,94746124,4001
31803160,92337883,4001
31809130,40474380,4001
31802599,94746336,4001
31801188,90971886,4002
20376084,49767390,4001
20376101,49755847,4001
20376100,,4001
20376086,54459857,4001
31805787,,4001
20376950,56355480,4001
20376826,54460277,4001
20376960,54363551,4001
30524633,49756178,1004
29026218,33466315,1004
30524629,40484013,1004
30727026,90953525,1004
30718442,33466567,1004
30727034,90974777,1004
30727012,33399722,1004
30524634,33465087,1004
30727010,97064124,1004
30524632,33465877,1004
30726961,33466609,1004
30727009,90974823,1004
30727028,,1004
30726986,33466396,1004
30727029,33400483,1004
30727014,33399727,1004
83769464,,1020
31803174,92337556,3010
57529697,49762984,3002
31803151,90971904,3010
83769788,54460123,3010
57529694,49768598,3010
83770057,,3010
83770054,56364220,3010
