block_code,total_population,num_white,num_african_american,num_american_indian,num_asian,num_hispanic_latino,median_income,num_housing_units,median_house_value
2024,427.0,156.0,0.0,0.0,0.0,271.0,38750.0,311.0,98600.0
2025,1053.0,123.0,20.0,0.0,0.0,909.0,24886.0,452.0,0.0
2026,1053.0,123.0,20.0,0.0,0.0,909.0,24886.0,452.0,0.0
2027,1234.0,1123.0,0.0,0.0,0.0,111.0,64250.0,525.0,214800.0
2028,1053.0,123.0,20.0,0.0,0.0,909.0,24886.0,452.0,0.0
2029,2903.0,942.0,282.0,0.0,0.0,1659.0,40438.0,1065.0,0.0
2030,954.0,99.0,2.0,0.0,18.0,817.0,15673.0,487.0,0.0
2031,1053.0,123.0,20.0,0.0,0.0,909.0,24886.0,452.0,0.0
2032,954.0,99.0,2.0,0.0,18.0,817.0,15673.0,487.0,0.0
2033,2903.0,942.0,282.0,0.0,0.0,1659.0,40438.0,1065.0,0.0
2034,954.0,99.0,2.0,0.0,18.0,817.0,15673.0,487.0,0.0
2035,1234.0,1123.0,0.0,0.0,0.0,111.0,64250.0,525.0,214800.0
2036,1234.0,1123.0,0.0,0.0,0.0,111.0,64250.0,525.0,214800.0
2037,1234.0,1123.0,0.0,0.0,0.0,111.0,64250.0,525.0,214800.0
2038,954.0,99.0,2.0,0.0,18.0,817.0,15673.0,487.0,0.0
2039,1234.0,1123.0,0.0,0.0,0.0,111.0,64250.0,525.0,214800.0
2040,1234.0,1123.0,0.0,0.0,0.0,111.0,64250.0,525.0,214800.0
3000,1075.0,434.0,15.0,0.0,10.0,594.0,46908.0,508.0,114600.0
3001,1084.0,331.0,21.0,0.0,0.0,653.0,48947.0,482.0,164900.0
3002,684.0,376.0,21.0,12.0,15.0,238.0,74844.0,317.0,188700.0
3003,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
3004,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3005,1084.0,331.0,21.0,0.0,0.0,653.0,48947.0,482.0,164900.0
3006,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
3007,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3008,558.0,163.0,7.0,0.0,0.0,388.0,53125.0,236.0,155600.0
3009,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
